epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4733.36,2.15809,2.1548,2.91852,0.65283,0.46556,0.54813,0.34106,2.93561,3.26537,3.53175,0.005842,0.005842,0.005842
44,4842.11,2.17881,2.16314,2.90632,0.66762,0.48209,0.54594,0.35152,2.88977,3.18137,3.4718,0.005743,0.005743,0.005743
45,4950.81,2.15519,2.16792,2.90866,0.72617,0.46006,0.55801,0.35991,2.83477,3.09299,3.52759,0.005644,0.005644,0.005644
46,5059.45,2.13232,2.14859,2.89674,0.77935,0.43787,0.55383,0.35381,2.80712,3.17446,3.48074,0.005545,0.005545,0.005545
47,5168.04,2.13322,2.11916,2.88979,0.7445,0.48209,0.5757,0.36286,2.85083,3.05854,3.5815,0.005446,0.005446,0.005446
48,5276.65,2.16094,2.14558,2.90502,0.76436,0.46006,0.5503,0.35935,2.77987,3.14226,3.46211,0.005347,0.005347,0.005347
49,5385.24,2.13049,2.09799,2.88541,0.69212,0.45179,0.5555,0.33412,2.90156,3.20838,3.57981,0.005248,0.005248,0.005248
50,5494.09,2.14337,2.10177,2.89702,0.71336,0.4662,0.55557,0.37397,2.73677,3.15781,3.39287,0.005149,0.005149,0.005149
51,5602.63,2.10682,2.06184,2.85951,0.68829,0.50138,0.58502,0.35946,2.87648,2.97065,3.5133,0.00505,0.00505,0.00505
52,5711.21,2.13696,2.09631,2.87442,0.80273,0.47082,0.58838,0.38895,2.78049,3.02638,3.42021,0.004951,0.004951,0.004951
53,5819.82,2.11393,2.08049,2.86912,0.73742,0.50413,0.60033,0.3768,2.76185,2.92971,3.38438,0.004852,0.004852,0.004852
54,5928.52,2.11728,2.03546,2.86016,0.74915,0.48209,0.58018,0.36134,2.86691,3.0043,3.49239,0.004753,0.004753,0.004753
55,6037.61,2.09919,2.02838,2.85483,0.70409,0.50473,0.57911,0.38035,2.83914,3.05795,3.48802,0.004654,0.004654,0.004654
56,6146.2,2.08085,2.02703,2.84967,0.73966,0.49309,0.58669,0.37061,2.77097,2.88629,3.44796,0.004555,0.004555,0.004555
57,6254.8,2.09146,2.05492,2.84941,0.73014,0.53719,0.61019,0.39905,2.70183,2.93045,3.35071,0.004456,0.004456,0.004456
58,6363.36,2.06039,1.99848,2.83016,0.74072,0.49862,0.59977,0.38767,2.72189,2.91447,3.32891,0.004357,0.004357,0.004357
59,6471.87,2.05278,1.98071,2.82132,0.70228,0.54584,0.62274,0.40101,2.70552,2.82939,3.39261,0.004258,0.004258,0.004258
60,6580.31,2.06677,2.00526,2.83373,0.68581,0.53444,0.61309,0.38531,2.80445,2.95714,3.41754,0.004159,0.004159,0.004159
61,6688.72,2.06058,1.98516,2.81738,0.7852,0.49036,0.60521,0.38675,2.75675,2.91487,3.40531,0.00406,0.00406,0.00406
62,6797.28,2.03462,1.93128,2.80787,0.743,0.57576,0.64702,0.41022,2.69097,2.73615,3.31255,0.003961,0.003961,0.003961
63,6905.8,2.05097,1.97546,2.81152,0.69958,0.55372,0.64112,0.40752,2.71441,2.7737,3.30164,0.003862,0.003862,0.003862
64,7014.22,2.06164,1.9713,2.8066,0.70483,0.54599,0.60943,0.40598,2.63612,2.85861,3.27731,0.003763,0.003763,0.003763
65,7122.84,2.03424,1.92505,2.805,0.75558,0.5427,0.63408,0.40021,2.70558,2.78928,3.33827,0.003664,0.003664,0.003664
66,7231.48,1.99434,1.92545,2.77041,0.76655,0.53719,0.63172,0.40485,2.68709,2.80907,3.32128,0.003565,0.003565,0.003565
67,7339.97,1.97508,1.89337,2.75695,0.72623,0.56269,0.64058,0.40744,2.68962,2.82247,3.28239,0.003466,0.003466,0.003466
68,7448.48,1.99768,1.88846,2.77827,0.78513,0.55372,0.63731,0.4228,2.61548,2.67808,3.24035,0.003367,0.003367,0.003367
69,7557.2,1.97584,1.87455,2.76165,0.78855,0.52617,0.64968,0.42672,2.65044,2.64457,3.26071,0.003268,0.003268,0.003268
70,7666.83,1.98899,1.88098,2.76539,0.78354,0.57837,0.65442,0.42669,2.65587,2.65295,3.2625,0.003169,0.003169,0.003169
71,7776.6,1.97739,1.82785,2.76216,0.82714,0.54545,0.66373,0.43575,2.64874,2.60253,3.23942,0.00307,0.00307,0.00307
72,7885.18,1.97836,1.81764,2.76545,0.79915,0.55902,0.64665,0.4275,2.63889,2.67777,3.25796,0.002971,0.002971,0.002971
73,7994.03,1.94965,1.82386,2.74991,0.71327,0.56193,0.63438,0.42157,2.6286,2.62441,3.24875,0.002872,0.002872,0.002872
74,8102.68,1.95134,1.81369,2.7444,0.82373,0.53994,0.6621,0.42658,2.67025,2.58437,3.26771,0.002773,0.002773,0.002773
75,8211.27,1.96591,1.81272,2.7513,0.80905,0.54545,0.64127,0.4275,2.64602,2.63237,3.26841,0.002674,0.002674,0.002674
76,8319.68,1.95483,1.81898,2.74793,0.6946,0.58897,0.65223,0.43464,2.61971,2.56588,3.23364,0.002575,0.002575,0.002575
77,8428.11,1.92493,1.81203,2.72631,0.76682,0.56474,0.65207,0.43491,2.63357,2.62106,3.24936,0.002476,0.002476,0.002476
78,8536.59,1.92535,1.78214,2.72153,0.75142,0.56474,0.66401,0.43277,2.66642,2.6076,3.30169,0.002377,0.002377,0.002377
79,8645.1,1.92647,1.77972,2.72909,0.75212,0.59346,0.67002,0.44044,2.67414,2.51809,3.25728,0.002278,0.002278,0.002278
80,8753.51,1.90453,1.75178,2.71395,0.7914,0.53301,0.65361,0.43834,2.58502,2.57997,3.22619,0.002179,0.002179,0.002179
81,8862.06,1.90328,1.75875,2.71443,0.75554,0.57895,0.66884,0.44639,2.5945,2.48165,3.22652,0.00208,0.00208,0.00208
82,8970.75,1.89693,1.71467,2.68616,0.76639,0.56937,0.66815,0.44712,2.59221,2.50635,3.21146,0.001981,0.001981,0.001981
83,9079.3,1.90665,1.74551,2.69529,0.79335,0.57111,0.6686,0.44334,2.58475,2.54395,3.22303,0.001882,0.001882,0.001882
84,9188.17,1.89341,1.73074,2.69062,0.7242,0.62259,0.67617,0.45017,2.59559,2.48321,3.2085,0.001783,0.001783,0.001783
85,9296.85,1.86437,1.67994,2.68283,0.7706,0.59226,0.68033,0.44651,2.58441,2.54232,3.19579,0.001684,0.001684,0.001684
86,9405.64,1.86145,1.70029,2.67444,0.79478,0.57614,0.6822,0.45855,2.57213,2.45746,3.17696,0.001585,0.001585,0.001585
87,9514.52,1.86118,1.68037,2.67796,0.75487,0.60055,0.68447,0.44994,2.60054,2.44645,3.22865,0.001486,0.001486,0.001486
88,9623.34,1.87586,1.70877,2.67046,0.75122,0.59229,0.66996,0.44554,2.59461,2.44345,3.20794,0.001387,0.001387,0.001387
89,9731.95,1.83458,1.65406,2.6621,0.75036,0.60606,0.68282,0.45748,2.57995,2.4124,3.20109,0.001288,0.001288,0.001288
90,9840.46,1.81828,1.65916,2.64004,0.74059,0.61346,0.68679,0.45091,2.61913,2.42244,3.25326,0.001189,0.001189,0.001189
91,9980.61,1.69125,1.35495,2.73733,0.79336,0.61433,0.69949,0.45805,2.58865,2.41743,3.21907,0.00109,0.00109,0.00109
92,10088.1,1.62895,1.24579,2.67107,0.76212,0.58953,0.6939,0.46341,2.52464,2.47143,3.17363,0.000991,0.000991,0.000991
93,10195.4,1.61179,1.24242,2.66368,0.75517,0.5948,0.69123,0.46883,2.5465,2.40015,3.17247,0.000892,0.000892,0.000892
94,10302.8,1.59866,1.17532,2.63096,0.78312,0.58953,0.69274,0.47019,2.53749,2.36488,3.17625,0.000793,0.000793,0.000793
95,10410.2,1.57746,1.18906,2.6241,0.79662,0.59348,0.69929,0.47632,2.50698,2.371,3.15465,0.000694,0.000694,0.000694
96,10517.6,1.57997,1.15938,2.63566,0.77881,0.60606,0.70105,0.47696,2.50769,2.36734,3.1457,0.000595,0.000595,0.000595
97,10625.1,1.53776,1.14617,2.59672,0.78389,0.58955,0.69972,0.47164,2.52166,2.35535,3.16566,0.000496,0.000496,0.000496
98,10732.6,1.54015,1.12929,2.59705,0.77534,0.60848,0.70244,0.47608,2.5242,2.3185,3.17318,0.000397,0.000397,0.000397
99,10840,1.52221,1.12008,2.58223,0.84204,0.57274,0.69843,0.47484,2.50442,2.35973,3.16587,0.000298,0.000298,0.000298
100,10947.3,1.50169,1.09821,2.55493,0.78843,0.58678,0.69787,0.47633,2.5038,2.36953,3.16709,0.000199,0.000199,0.000199
